,0
155,"In the United States, approximately 1.6 million individuals identify as transgender and gender diverse (TGD), encompassing a wide range of identities and experiences. Despite progress in visibility and acceptance, TGD people continue to face health care and societal disparities, especially affecting racial minorities. Although legal advancements have been achieved, the key to addressing these persistent health care disparities lies in implementing comprehensive and culturally sensitive health care practices and supportive policies. With a growing number of TGD people seeking gender-affirming care, it is imperative that health care practitioners understand the unique challenges faced by this community and provide tailored services with sensitivity and expertise."
156,"Measurement-based care (MBC), or the regular use of progress measures to inform clinical decision-making, improves quality of care and clinical outcomes. MBC typically focuses on standardized rather than individualized outcome measurement. In this pilot study, we examined the clinical utility of integrating individualized measurement with existing standardized outcome monitoring in a children's partial hospitalization program. Participants were 48 youth (M age 10.13 ± 1.39; 54.2% male, 41.7% female, 4.2% transgender or nonbinary). Comorbidity was common; 83.4% of youth had more than one diagnosis at intake. Using the Youth Top Problems for individualized outcome measurement, we examined Top Problem content and clinical improvement over time. Finally, we examined completion rates and describe implementation issues. Top Problems were heterogeneous and sensitive to change. Of the 144 problems, 107 (74%) had a focus consistent with measures used in program, while 37 (26%) were not captured by standardized measures used in program. Effect sizes from admission to final measurement ranged from Cohen's d = .75 - 1.00. Initial adoption of the MBC was strong, but sustained use of the system over the treatment course was challenging. Individualized outcome measurement in children's partial hospitalization programs is feasible to administer and sensitive to clinical change that is unique from change captured in standardized measures. Parents were able to self-identify clinically meaningful, highly individualized Top Problems. Challenges of implementation and clinical assessment in acute settings and potential strategies for improving implementation are discussed."
157,"Measurement-based care (MBC), or the regular use of progress measures to inform clinical decision-making, improves quality of care and clinical outcomes. MBC typically focuses on standardized rather than individualized outcome measurement. In this pilot study, we examined the clinical utility of integrating individualized measurement with existing standardized outcome monitoring in a children's partial hospitalization program. Participants were 48 youth (M age 10.13 ± 1.39; 54.2% male, 41.7% female, 4.2% transgender or nonbinary). Comorbidity was common; 83.4% of youth had more than one diagnosis at intake. Using the Youth Top Problems for individualized outcome measurement, we examined Top Problem content and clinical improvement over time. Finally, we examined completion rates and describe implementation issues. Top Problems were heterogeneous and sensitive to change. Of the 144 problems, 107 (74%) had a focus consistent with measures used in program, while 37 (26%) were not captured by standardized measures used in program. Effect sizes from admission to final measurement ranged from Cohen's d = .75 - 1.00. Initial adoption of the MBC was strong, but sustained use of the system over the treatment course was challenging. Individualized outcome measurement in children's partial hospitalization programs is feasible to administer and sensitive to clinical change that is unique from change captured in standardized measures. Parents were able to self-identify clinically meaningful, highly individualized Top Problems. Challenges of implementation and clinical assessment in acute settings and potential strategies for improving implementation are discussed."
158,"Sexual violence (SV) on college campuses disproportionately affects cisgender (nontransgender) women, sexual minorities (e.g., gays/lesbians, bisexuals), and gender minority (e.g., transgender/nonbinary) people. This study investigates gender and sexual behavior differences in common SV intervention targets-SV-related knowledge, prevention behaviors, and care-seeking. We analyzed cross-sectional survey data, collected in 9/2015-3/2017, from 2202 students aged 18-24 years attending college health and counseling centers at 28 Pennsylvania and West Virginia campuses. Multivariable multilevel models tested gender and sexual behavior differences in SV history; recognition of SV; prevention behaviors (self-efficacy to obtain sexual consent, intentions to intervene, positive bystander behaviors); and care-seeking behaviors (knowledge of, self-efficacy to use, and actual use of SV services). Adjusting for lifetime exposure to SV, compared with cisgender men, cisgender women had higher recognition of SV and reproductive coercion, prevention behaviors, and care-seeking self-efficacy (beta range 0.19-1.36) and gender minority people had higher recognition of SV and intentions to intervene (beta range 0.33-0.61). Cisgender men with any same-gender sexual partners had higher SV knowledge (beta = 0.23) and self-efficacy to use SV services (beta = 0.52) than cisgender men with only opposite-gender partners. SV history did not explain these differences. Populations most vulnerable to SV generally have higher SV knowledge, prevention behaviors, and care-seeking behaviors than cisgender men with only opposite-gender sexual partners. Innovative SV intervention approaches are necessary to increase SV-related knowledge among heterosexual cisgender men and may need to target alternative mechanisms to effectively reduce inequities for sexual and gender minority people."
159,"People exposed to more unfavourable social circumstances are more vulnerable to poor mental health over their life course, in ways that are often determined by structural factors which generate and perpetuate intergenerational cycles of disadvantage and poor health. Addressing these challenges is an imperative matter of social justice. In this paper we provide a roadmap to address the social determinants that cause mental ill health. Relying as far as possible on high-quality evidence, we first map out the literature that supports a causal link between social determinants and later mental health outcomes. Given the breadth of this topic, we focus on the most pervasive social determinants across the life course, and those that are common across major mental disorders. We draw primarily on the available evidence from the Global North, acknowledging that other global contexts will face both similar and unique sets of social determinants that will require equitable attention. Much of our evidence focuses on mental health in groups who are marginalized, and thus often exposed to a multitude of intersecting social risk factors. These groups include refugees, asylum seekers and displaced persons, as well as ethnoracial minoritized groups; lesbian, gay, bisexual, transgender and queer (LGBTQ+) groups; and those living in poverty. We then introduce a preventive framework for conceptualizing the link between social determinants and mental health and disorder, which can guide much needed primary prevention strategies capable of reducing inequalities and improving population mental health. Following this, we provide a review of the evidence concerning candidate preventive strategies to intervene on social determinants of mental health. These interventions fall broadly within the scope of universal, selected and indicated primary prevention strategies, but we also briefly review important secondary and tertiary strategies to promote recovery in those with existing mental disorders. Finally, we provide seven key recommendations, framed around social justice, which constitute a roadmap for action in research, policy and public health. Adoption of these recommendations would provide an opportunity to advance efforts to intervene on modifiable social determinants that affect population mental health."
160,"Gender and sexual minority individuals experience higher rates of mistreatment and discrimination in healthcare compared with their non-lesbian, gay, bisexual, transgender, queer, and other nonheterosexual (LGBTQ+) peers. The Healthcare Equality Index (HEI) aims to create more inclusive environments and to provide metrics for quality improvement. Currently, only one adult hospital in the District of Columbia has earned the highest recognition from the HEI. Our institution is part of the same regional health system as this hospital, yet has never been evaluated by the HEI. This study explores the knowledge, attitudes, and perceptions surrounding the HEI at our institution to assess the feasibility of its participation. During the study period of July 2021 to June 2022, a total of 12 physicians, administrators, and educators from both hospitals and our affiliated school of medicine were interviewed. All participants expressed support after HEI requirements and improving inclusivity for LGBTQ+ patients. Participants at the other hospital cited unanimous support amongst hospital administrators as key for successful HEI implementation. Participants also mentioned cost, staff shortages, and the school of medicine's religious affiliation as potential barriers to this goal. Ultimately, hospital implementation of HEI guidelines is feasible despite shifting institutional priorities and resource limitations through greater stakeholder buy-in and streamlining a systemwide approach."
161,"This study sought to understand how transgender and gender non-binary (TGNB) individuals skillfully cope with healthcare services and to explore how childhood experiences impact expectations, habits, and meaning-making when utilizing healthcare services. Using an interpretive phenomenological approach, we sampled 17, White TGNB adults in the United States, ages 19 to 57, using semi-structed interviews about childhood experiences with healthcare utilization and adult experiences seeking genderaffirming healthcare. Analysis identified one main theme-Anticipate the worst in healthcare and be pleasantly surprised-and three subthemes: i) contrast between positive childhood and negative adulthood experiences in medical care; ii) coping practices for the worst; and iii) finding your unicorn doctor and medical staff for pleasant experiences. Results indicate participants experienced a disruption and acquisition of new coping practices in healthcare settings and the cultivation of a radical imagination for a more liberated medical world for TGNB people. Implications for providers and medical offices for empowering TGNB adults are described."
162,Many studies have shown conflicting results regarding mental health among transmasculine adults or transgender men (TM). This study aimed to identify the prevalence of depression among Thai TM receiving gender-affirming hormone therapy (GAHT).
163,"Tuberculosis (TB) diagnosis and management in special populations remain challenging. Data about TB and transgender individuals is scarce, and strategies aimed at reducing the TB burden in this at-risk group are needed. We conducted an observational monocentric study from a national reference center for TB, including transgender individuals with active TB in a low-TB burden country (Italy), over 34 years (1990-2023). Sixty-six transgender males and two transgender females (median age 30 years, interquartile range 26-38 years, 65 migrants) were included. Most patients (38/66, 57.6%) lived in poor social conditions. 65.2% (43/66) of patients were people living with HIV. Multidrug- and rifampicin-resistant tuberculosis and isoniazid-resistant TB were diagnosed in five (7.6%) and three (4.5%) patients, respectively. The overall treatment success rate was 72.7% (48/66 patients), with differences observed according to social conditions. Our study highlights the need for a tailored approach to increase treatment success in this at-risk population."
164,"Human Immunodeficiency Virus (HIV) prevalence among young gender-diverse (a wide range of gender identities for people whose gender identity is different from the sex that they were assigned at birth) individuals is high but testing coverage among this key population remains low. We aim to evaluate strategies for outreach, HIV testing, and linkage to proper management in young men-who-have-had-sex-with-men (MSM, homosexual male) and transgender women (TGW) in Bangkok, Thailand."
165,"Sexual and gender minority (SGM) people are at greater risk for substance use than heterosexual and cisgender people, but most prior work is limited by cross-sectional analyses or the examination of single substance use. This study examined substance use over time among SGM people to identify patterns of polysubstance use at the intersection of sex and gender.  Data were collected annually over 4 years from SGM respondents  = 11,822) in The Population Research in Identity and Disparities for Equality (PRIDE) Study. Differences in substance use patterns (any prior 30-day use of 15 substances) by gender subgroup were examined with latent class analysis, and multinomial regression models tested relationships between gender subgroup and substance use.  Eight classes of substance use were observed. The three most common patterns were low substance use (49%), heavy episodic alcohol use (≥5 alcoholic drinks on one occasion) with some cannabis and tobacco use (14%), and cannabis use with some tobacco and declining heavy episodic alcohol use (13%). Differences observed included lower odds of patterns defined by heavy episodic alcohol use with some cannabis and tobacco use in all gender subgroups relative to cisgender men and persons with low substance use (odds ratios [ORs] 0.26-0.60). Gender expansive people assigned female at birth, gender expansive people assigned male at birth, and transgender men had greater odds of reporting cannabis use with small percentages of heavy episodic alcohol and tobacco use (ORs: 1.41-1.60).  This study suggests that there are unique patterns of polysubstance use over time among gender subgroups of SGM people."
166,To describe the prevalence of eating disorder symptoms among adolescents seeking gender-affirming care.
167,We conducted this systematic review to identify emergency department (ED) relevant recommendations in current guidelines for care of transgender and gender-diverse (TGD) people internationally.
168,To evaluate fertility treatment outcomes among transgender (TG) men with a history of gender-affirming hormone therapy with exogenous testosterone.
169,"Transgender and gender diverse (TGD) patients may present to a surgical context with complex mental health challenges, many of which stem from external stressors. TGD patients also may face disparities regarding the accessibility and quality of health care experiences, which also erodes the mental health of patients. Providers who offer gender-affirming surgery need to be aware of the context that patients may arrive in and install practices that can address the needs of TGD patients."
170,"Trans young people are at a higher risk of mental health difficulties such as depression, anxiety and suicidality than their cisgender peers, due in part to their experiences of minority stress. This protocol describes a feasibility trial and subsequent pilot randomised controlled trial (RCT) of a codesigned group cognitive-behavioural therapy intervention for trans young people, named Trans Adolescent Group ThErapy for Alleviating Minority stress (TAG TEAM)."
171,"Masculinizing chest reconstruction (MCR) has been shown to improve quality of life and gender dysphoria in transmasculine adult patients. As nationwide access to gender-affirming care expands, more adolescents are seeking MCR. However, there is a paucity of literature examining patient characteristics, safety, and disparities among this population."
172,"This article describes the political action repertoire mobilized in the construction of public health policy for trans persons in the Manaus, capital city of the state of Amazonas, in northern Brazil. It is based on ethnographic research combining participant observation in the multiple sites where these policies are constructed and interviews with members of two transgender rights organizations in Manaus, between January 2016 and July 2018. Four modes of political action were reconstructed, as ideal types, named after native categories: those of confrontation, others of ""articulation"", the ones seeking visibility and others collaboration. Each mode has the local society as public and agents of the municipal and state Judiciary, Legislative and Executive bodies sometimes as adversaries, sometimes as allies."
173,"In the past decade, prenatal cell-free DNA screening (cfDNA) has become ubiquitous as a screening tool for fetal aneuploidy and sex chromosomes. Healthcare provider (HCP) discussions and public perceptions of sex and gender uniquely impact transgender and gender diverse (TGD) individuals, and existing cfDNA guidelines lack recommendations regarding how to discuss sex and gender prenatally. The aim of this exploratory qualitative study was to examine TGD individuals' opinions regarding fetal sex chromosome disclosure sessions. Twelve semi-structured virtual interviews were conducted with TGD individuals regarding their perspectives on the discussion of fetal sex chromosomes by HCPs within the prenatal setting. Interviews were coded and analyzed using a reflexive thematic approach, generating four major themes: (1) Current practices in prenatal care exclude gender diverse people; (2) HCPs' responsibility to de-gender discussions of sex chromosomes in prenatal care; (3) HCPs' responsibility to acknowledge gender diversity; and (4) HCPs' influence on societal perceptions of sex and gender. More guidance is needed from professional societies regarding best practices for HCP discussions of sex chromosomes, sex, and gender. Participants recommended HCPs educate patients about sex chromosomes and their relevance to health while avoiding the conflation of sex and gender terms. Additionally, there is an acute need for trans-inclusive prenatal healthcare. Ultimately, HCPs' and organizations are in a prime position to deconstruct rigid gender binaries and promote societal inclusion of TGD people."
174,"Transgender and nonbinary (TNB) people face barriers to primary care, which remains the main entry point for accessing gender-affirming healthcare in the UK."
175,"Members of the lesbian, gay, bisexual, transgender, queer, and other sexual orientation and gender diverse (SOGD) communities are at disproportionately higher risk for sexual violence compared to cisgender heterosexual people. Despite this elevated risk, relatively few sexual violence prevention efforts effectively reduce these victimization disparities based on sexual orientation or gender identity. This narrative review provides an overview of the prevalence of sexual violence in the SOGD communities, delineates risk factors for sexual victimization among SOGD community members, and reviews and evaluates existing prevention efforts for the SOGD communities. We outline specific recommendations for ensuring that prevention efforts meet the needs of the SOGD communities. Drawing on ecological systems theory and public health approaches to sexual violence prevention, we outline current approaches and opportunities for preventionists and scholars to push the field forward. There have been promising prevention programmes designed to be implemented within SOGD communities specifically; however, it is important that general primary prevention programmes endeavour to specifically address sexual violence perpetrated against SOGD people. While many packaged programmes that endeavour to prevent sexual violence across all gender identities and sexual orientations are inclusive of SOGD participants, more programming is needed that integrates anti-oppression training to target social norms that perpetuate SOGD-specific rape myths and normalize sexual violence against SOGD community members. Ecological prevention strategies in line with a public health approach for primary prevention may be particularly valuable for reducing victimization disparities based on SOGD status and identity. Comprehensive sexual education and anti-discrimination policies should be considered front-line prevention programming. To assess if these strategies are effective, the implementation of large-scale surveillance surveys that use comprehensive assessments of sexual orientation, gender identity, and sexual violence are needed. Using theoretically grounded implementation strategies for prevention programmes can ensure effective programme delivery."
176,"The field of behavioral neuroendocrinology has only begun to explore the lived experiences of transgender and gender diverse (TGD) people exposed to stigma. In light of escalating attacks and legislation targeting TGD people in the United States, it is crucial to examine the physiological pathways through which gender minority stressors become embodied, impact health, and contribute to health inequities. The Trans Resilience and Health Study included baseline data collection from fall 2019 to spring 2020 from a sample of 124 TGD people, reflecting a diversity of gender identities (e.g., trans masculine, trans feminine, and nonbinary) and ages (range = 19-70 years old; M = 34.10), living in Michigan, Nebraska, Oregon, and Tennessee. These analyses examine experiences of gender-related enacted stigma in association with hypothalamic-pituitary-adrenal (HPA)-axis functioning. Among those experiencing the highest levels of enacted stigma, findings show a blunted cortisol awakening response and sluggish daily decline that resulted in elevated concentrations at bedtime compared to those experiencing less enacted stigma. These results of flattened diurnal activity are consistent with an emergent literature on discrimination as a social determinant of potential stress pathophysiology. In contrast, community connectedness was associated with a larger, more dynamic cortisol awakening response. These findings emphasize the importance of incorporating gender-minority stress and resilience measures when studying HPA-axis functioning among TGD people."
177,"The visibility of lesbian, gay, bisexual, transgender, queer, intersex, asexual, and all sexually and gender diverse (LGBTQIA+) families is growing. Anti-LGBTQIA+ rhetoric and actions continue to shape the public discourse, legislation, and health care. This article highlights unique challenges and strengths of children raised by LGBTQIA+ parents. Health care professionals should be cognizant of challenges and resiliencies these children experience in a normative society regarding gender identity, sexual orientation, and sex development. Clinicians can conduct inclusive and nonjudgmental family and social histories in welcoming practices, with careful consideration of unique familial dynamics these children may experience at home."
178,"The visibility of lesbian, gay, bisexual, transgender, queer, intersex, asexual, and all sexually and gender diverse (LGBTQIA+) families is growing. Anti-LGBTQIA+ rhetoric and actions continue to shape the public discourse, legislation, and health care. This article highlights unique challenges and strengths of children raised by LGBTQIA+ parents. Health care professionals should be cognizant of challenges and resiliencies these children experience in a normative society regarding gender identity, sexual orientation, and sex development. Clinicians can conduct inclusive and nonjudgmental family and social histories in welcoming practices, with careful consideration of unique familial dynamics these children may experience at home."
179,"The visibility of lesbian, gay, bisexual, transgender, queer, intersex, asexual, and all sexually and gender diverse (LGBTQIA+) families is growing. Anti-LGBTQIA+ rhetoric and actions continue to shape the public discourse, legislation, and health care. This article highlights unique challenges and strengths of children raised by LGBTQIA+ parents. Health care professionals should be cognizant of challenges and resiliencies these children experience in a normative society regarding gender identity, sexual orientation, and sex development. Clinicians can conduct inclusive and nonjudgmental family and social histories in welcoming practices, with careful consideration of unique familial dynamics these children may experience at home."
180,"Firearm violence is increasingly recognized as a public health issue, but whether physicians should intervene remains politically contested."
181,This study aimed to assess the knowledge and attitudes of a sample of Hispanics in Puerto Rico (PR) toward the transgender community.
182,To explore the feasibility of development and implementation of an educational intervention addressing sexual and gender minority healthcare issues; examine recruitment processes and instrument appropriateness.
183,"Transgender and gender-diverse patients face complex, multifactorial barriers to medically necessary gender-affirming care. Insurance coverage for facial feminizing and masculinizing surgeries is one such obstacle. Providers and affiliated team members must have a comprehensive understanding of clinical standards of care, medical documentation, insurance policy and terminology, and related legislation to successfully navigate this administrative quagmire and ensure patient access to care.."
184,"LGBTQI (lesbian, gay, bisexual, transgender, queer and/or intersex) communities are increasingly recognized as a vulnerable and high-risk population in oncology. LGBTQI cancer carers, including carers who are LGBTQI and other carers of LGBTQI people, experience many of the same stressors as LGBTQI patients but their support needs are often overlooked in the cancer literature."
185,Transgender and gender diverse (TGD) adults are disproportionately affected by suicide. Social support and connection to the broader TGD community may help lower TGD adults' odds of having a suicide attempt (SA). The current study examined whether baseline levels of social support and community connectedness were associated with TGD adult's prospective odds of having a SA over 12 months of follow-up.
186,"Little is known about maintenance of amenorrhea in transgender and gender diverse individuals with uteri using long-term testosterone gender-affirming hormone therapy. Emerging data describes breakthrough bleeding in adolescents on long-term testosterone, as well as in adults seeking gender affirming hysterectomy. More studies are needed to better understand breakthrough bleeding patterns in transgender and gender diverse individuals on testosterone with uteri, including the frequency, timing, and etiology, and how these may differ in adults compared to younger populations."
187,"Key populations (KPs), including female sex workers (FSWs), gay men and other men who have sex with men (MSM), people who inject drugs (PWID), and transgender women (TGW) experience disproportionate risks of HIV acquisition. The UNAIDS Global AIDS 2022 Update reported that one-quarter of all new HIV infections occurred among their non-KP sexual partners. However, this fraction relied on heuristics regarding the ratio of new infections that KPs transmitted to their non-KP partners to the new infections acquired among KPs (herein referred to as ""infection ratios""). We recalculated these ratios using dynamic transmission models."
188,"Previously, The Joint United Nations Programme on HIV/AIDS estimated proportions of adult new HIV infections among key populations (KPs) in the last calendar year, globally and in 8 regions. We refined and updated these, for 2010 and 2022, using country-level trend models informed by national data."
189,"Eye-tracking technology was used to assess aesthetic surgical outcomes in transgender and gender diverse patients who are assigned female at birth and who seek gender affirming chest surgery. Post-surgery, observers focused more on scars than on the nipple-areolar complex. Ratings for similarity to cis-male chests significantly increased. This series highlights the objective evaluation of visual perception and masculinity assessments using eye-tracking."
190,"Gender incongruence can often manifest itself from early childhood [Olson KR, Gülgöz S. Child Dev Perspect. 2018;12:93-7. https://doi.org/10.1111/cdep.12268 ] with a significant psychological impact, altering social and school dynamics without the appropriate care.[Tordoff DM, et al. JAMA Netw Open. 2022;5(2): e220978. https://doi.org/10.1001/jamanetworkopen.2022.0978 ] Early identification and gender-affirming care are essential to reduce adverse mental health outcomes, such as depression and self-harm [Tordoff DM, et al. JAMA Netw Open. 2022;5(2): e220978. https://doi.org/10.1001/jamanetworkopen.2022.0978 ].This study aims to analyze characteristics and to estimate relative frequencies of gender incongruence in a population of children and adolescents receiving gender-affirming care at a high-complexity university hospital located in the third largest city in Colombia."
191,This study aimed to describe patient experiences and attitudes about the role of the mental health professional as it relates to pursuing gender affirmation surgery.
192,"Lesbian, gay, bisexual, transgender, queer, and other LGBTQ populations (LGBTQ+; e.g., asexual individuals) have higher rates of substance use (SU) and disorders (SUD) compared to heterosexual and cisgender populations. Such disparities can be attributed to minority stress, including stigma and discrimination in healthcare settings. LGBTQ+-affirming SU treatment and related services remain limited. The purpose of this exploratory qualitative descriptive study was to characterize LGBTQ+ people's experiences in SU services and recommendations for LGBTQ+- affirming care."
193,This paper reports on the first evaluation of infertility counselling in Germany.
194,"Sexual and gender minority stress is associated with negative physical and mental health outcomes, such as hypertension and depression. Expanding on previous reviews of the literature on cross-sectional and long-term prospective associations between sexual and gender minority stress and health outcomes, the current systematic review synthesizes the evidence on how everyday sexual and gender minority stress relates to momentary changes in health. The findings of 53 experience sampling studies published between 2007 and 2022 suggest that daily and momentary within-persons fluctuations in minority stressors are associated with cognitive-emotional (e.g., affect, suicidality), behavioral (e.g., substance use), social (e.g., relationship satisfaction), and physical health outcomes (e.g., somatic symptoms). These findings suggest that sexual and gender minority stress is a dynamic process that can vary within individuals over time and significantly impact everyday mental and physical health. We discuss the implications of these findings for minority stress theory, LGBTQ+ health research, LGBTQ+ affirming therapy, and prevention initiatives. The current experience sampling literature is limited by a lack of attention to gender minority stress and a focus on a limited range of health outcomes. Methodological and theoretical considerations for future experience sampling research are discussed in light of these limitations."
195,"While recent research has begun to address the effects of family support on transgender and/or nonbinary youth (TNY), almost no studies have directly examined how cisgender siblings in families with TNY navigate their sibling's gender disclosure and affirmation within both their families and their larger communities. We conducted an exploratory secondary analysis of in-person, semi-structured interviews with 15 adolescent and young adult siblings (age 13-24 years) of TNY from the northeastern United States from the baseline wave of the community-based, longitudinal, mixed methods Trans Teen and Family Narratives Project. Interview transcripts were analyzed using immersion/crystallization and template organizing approaches. Analyses yielded three main themes: gender-related beliefs and knowledge, peri- and post-disclosure family dynamics, and assessing responses to their sibling. Subthemes included anticipation of their sibling's TN identity, expectations post-disclosure, participants' level of involvement in gender-related family processes, perceptions of changes in family relationships, concern for their sibling (including a high degree of attunement to gender-affirming name and pronoun usage), and concern for themselves. Findings from this study suggest the need to engage directly with siblings of TNY to further elucidate their intrapersonal, intra-familial, and extra-familial experiences related to having a TN sibling and determine their unique support needs. Implications for families, clinicians, and communities are discussed."
196,"While acne is common in transgender and gender-diverse people and is associated with gender-affirming hormone therapy, little research has examined these factors and their impact in gender minority groups."
197,This narrative review of research conducted during the first 2 years of the COVID-19 pandemic examines whether alcohol use among cisgender women and transgender and nonbinary people increased during the pandemic. The overarching goal of the review is to inform intervention and prevention efforts to halt the narrowing of gender-related differences in alcohol use.
198,"Emerging research has demonstrated that transgender and non-binary (TNB) individuals face an elevated risk of experiencing family rejection and violence. However, there remains a significant knowledge gap regarding how TNB individuals manage stressors and their gender identity within the family context, particularly in regions where TNB individuals are highly stigmatized and where legal protections against family violence are lacking. The present study represents one of the first pioneering efforts to provide large-scale quantitative data examining the experiences of family stressors, the management of gender identity and expression, and family violence among TNB individuals in China. A national sample of 1063 TNB individuals in China was involved in the study. They completed questionnaires about their experiences of family stressors and violence. The results indicated that 76.0% of TNB individuals reported having encountered at least one form of violence perpetrated by their family members. Transfeminine individuals were more likely to report experiencing emotional and physical abuse, whereas transmasculine individuals were more likely to be subjected to gender identity and/or expression change efforts. Family stressors, including family non-acceptance and the pressure to marry and reproduce, were positively associated with non-disclosure of gender identity, the suppression of gender expression, and family violence. The findings underscore the substantial burden of family violence borne by TNB individuals in China, which warrants immediate legal, institutional, and social responses. Trans-inclusive family violence prevention and intervention are urgently needed, with a focus on Chinese cultural factors and gender identity differences in violence screening and risk assessment."
